['', '/', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/fjd/', 'fvqbtm.tch', '227109', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/fjd/', 'wdsfwwwm.rmd', '223413', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/', 'mqp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/mqp/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/mqp/rzsrp/', 'pgwng', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/mqp/rzsrp/pgwng/', 'hgrnmh.gnf', '218271', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/', 'mdzdht', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/mdzdht/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/mdzdht/gqlg/', 'jjhc.tzr', '108335', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/mdzdht/gqlg/', 'gfjqbdp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/mdzdht/gqlg/gfjqbdp/', 'fzvn.jtv', '143536', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/mdzdht/', 'tvd', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/mdzdht/tvd/', 'wsjmrlqv.bwb', '238491', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hgrnmh/', 'lflcgss.jrm', '265289', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hgrnmh/', 'thb', '111283', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'hvb', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/hgrnmh/', 'zcmfcjhf.tzw', '84939', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/hgrnmh/', 'wpvssts', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/hgrnmh/wpvssts/', 'whcmr', '305634', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/', 'smmwg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/smmwg/', 'cvdbwg.rll', '36722', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/smmwg/', 'nnhbcbwz', '16840', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/smmwg/', 'zfn.jzr', '9405', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/smmwg/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/smmwg/rzsrp/', 'fzsngr', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/hvb/smmwg/rzsrp/fzsngr/', 'zcmfcjhf.tzw', '142687', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'rqtc', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/', 'pbzhfsg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/pbzhfsg/', 'hpshz.sdf', '41865', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/gqlg/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/gqlg/gqlg/', 'tnflwcsn', '21860', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/gqlg/', 'nvjqp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/gqlg/nvjqp/', 'gcq', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/gqlg/nvjqp/gcq/', 'mslhm', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/gqlg/nvjqp/gcq/mslhm/', 'rpgvllw.zfj', '41304', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/gqlg/nvjqp/gcq/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/gqlg/nvjqp/gcq/rzsrp/', 'ddsnt', '290199', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/', 'mbsjjzft', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/', 'ggpmg.pps', '47727', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/', 'tnflwcsn', '275954', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/', 'vbgnwh.sjz', '248613', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/', 'stgszvmj', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/', 'zcmfcjhf.tzw', '206580', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/', 'dthcrbmr', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/dthcrbmr/', 'lhp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/dthcrbmr/lhp/', 'hgrnmh.lvm', '37925', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/dthcrbmr/', 'npf', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/dthcrbmr/npf/', 'bqvd', '77162', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/dthcrbmr/', 'qbgrjr', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/dthcrbmr/qbgrjr/', 'fvqbtm.tch', '48767', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/', 'shlhgj', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/shlhgj/', 'zfn', '35422', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/shlhgj/', 'wtlngn', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/shlhgj/wtlngn/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/shlhgj/wtlngn/gqlg/', 'fwtqw', '64761', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/', 'zfn', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/zfn/', 'dmlr.flv', '47247', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/zfn/', 'htvn.rbz', '259570', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/rzsrp/mbsjjzft/stgszvmj/zfn/', 'qrdw', '149238', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/', 'shlhgj', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/shlhgj/', 'cjmv', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/shlhgj/cjmv/', 'jjhc.tzr', '140919', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/shlhgj/', 'tns', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/shlhgj/tns/', 'fvqbtm.tch', '248127', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/shlhgj/tns/', 'pwg', '216202', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/shlhgj/tns/', 'qhhtgsvz', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/rqtc/shlhgj/tns/qhhtgsvz/', 'fvqbtm.tch', '68979', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'vsdz', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/vsdz/', 'hgrnmh', '224491', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/vsdz/', 'zfn.gss', '123062', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/vsdz/', 'jsrqjjtc', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/vsdz/jsrqjjtc/', 'phc', '245991', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/vsdz/', 'shlhgj', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/vsdz/shlhgj/', 'ctwmwlp.lnm', '284208', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/vsdz/shlhgj/', 'vwsrmlf.dvz', '11067', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'wrnftqh', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/wrnftqh/', 'lldrh', '237658', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/wrnftqh/', 'nszc.wdf', '14804', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/gqlg/', 'jjhc.tzr', '211474', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'gtwdqw', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/gtwdqw/', 'fvqbtm.tch', '92613', 'file']
['/zjhqnlrr/ddzmvh/mghmb/gtwdqw/', 'ppzhmnb.grd', '206813', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/hgrnmh/', 'bftm', '249351', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'jts', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/jts/', 'gqlg.vnn', '132190', 'file']
['/zjhqnlrr/ddzmvh/mghmb/jts/', 'ldnq', '208091', 'file']
['/zjhqnlrr/ddzmvh/mghmb/jts/', 'zcmfcjhf.tzw', '202593', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'jvp', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/jvp/', 'lflcgss.jrm', '258220', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'jvrjcv', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/jvrjcv/', 'dzzlwp.bdj', '20148', 'file']
['/zjhqnlrr/ddzmvh/mghmb/jvrjcv/', 'hgrnmh.bvc', '289774', 'file']
['/zjhqnlrr/ddzmvh/mghmb/jvrjcv/', 'jwscd.cvj', '296981', 'file']
['/zjhqnlrr/ddzmvh/mghmb/jvrjcv/', 'tbnwvcl.tlv', '16617', 'file']
['/zjhqnlrr/ddzmvh/', 'pvdwhmcr', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'bhmmsbmb', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/bhmmsbmb/', 'nccjwf', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/bhmmsbmb/nccjwf/', 'lflcgss.jrm', '206638', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/bhmmsbmb/nccjwf/', 'drwhjfjn', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/bhmmsbmb/nccjwf/drwhjfjn/', 'zcmfcjhf.tzw', '291772', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'bjwbvcq', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/bjwbvcq/', 'zfn', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/bjwbvcq/zfn/', 'wrbldbd', '303808', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/hgrnmh/', 'fvqbtm.tch', '142765', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/hgrnmh/', 'scqf.scf', '159497', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/hgrnmh/', 'zcmfcjhf.tzw', '270819', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'ltvtrtth', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/', 'jnmqdq.zgp', '156894', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/', 'lflcgss.jrm', '297860', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/', 'zfn.vnn', '179328', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/', 'fwtwqvn', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/', 'rzsrp.tvr', '124999', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/', 'rqndc', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/rqndc/', 'zrcv', '45124', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/', 'rzsrp', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/rzsrp/', 'rzsrp', '74041', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/', 'shlhgj', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/shlhgj/', 'qptfpz.cgc', '117219', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/shlhgj/', 'shlhgj.bhd', '281188', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/shlhgj/', 'sptql', '121750', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/fwtwqvn/shlhgj/', 'vqp.dbs', '173637', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/', 'mcgcc', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/mcgcc/', 'gqlg', '18295', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/mcgcc/', 'rjsrn.rlq', '177283', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/mcgcc/', 'rzsrp.tfq', '54239', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/mcgcc/', 'ngvwhnvf', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/mcgcc/ngvwhnvf/', 'jjhc.tzr', '207616', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/', 'zfn', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/zfn/', 'cwzbljh', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/zfn/cwzbljh/', 'hmchpgn.nwf', '134952', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/', 'zzsnz', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/ltvtrtth/zzsnz/', 'shlhgj.pls', '273014', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/', 'prtqcb', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/', 'tnflwcsn', '199012', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/', 'dtr', 0, 'dir']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/', 'lflcgss.jrm', '115701', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/', 'tnflwcsn', '247838', 'file']
['/zjhqnlrr/ddzmvh/pvdwhmcr/prtqcb/dtr/', 'zcmfcjhf.tzw', '268721', 'file']
